sample_name,read_type,source_type,file_path_1,file_path_2,checksum_1,checksum_2
SRR7653091,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/001/SRR7653091/SRR7653091.fastq.gz,,c0b30c2b14cfa31623c2b17539aa4be7,
SRR7653092,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/002/SRR7653092/SRR7653092.fastq.gz,,a07992363414206ad399ccebce22ac06,
SRR7653093,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/003/SRR7653093/SRR7653093.fastq.gz,,aaac5213e8a89de0ad18734bb60cce84,
SRR7653094,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/004/SRR7653094/SRR7653094.fastq.gz,,1decd9fbe4e98ef6b9e24b1995dec05b,
SRR7653095,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/005/SRR7653095/SRR7653095.fastq.gz,,f4edc1e88fce30bc22ff9c6b66a8e6a0,
SRR7653096,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/006/SRR7653096/SRR7653096.fastq.gz,,b45717c66b25b8a7379cd2d50b3b2035,
SRR7653097,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/007/SRR7653097/SRR7653097.fastq.gz,,6a1de6d5e3f02d424240b16a42f533c5,
SRR9951061,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR995/001/SRR9951061/SRR9951061.fastq.gz,,a5d84b58bc46cc87fcf912ef7d67852c,
SRR9951062,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR995/002/SRR9951062/SRR9951062.fastq.gz,,a1bedcee90af98dbdb40a7f0ddcb4512,
SRR9951063,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR995/003/SRR9951063/SRR9951063.fastq.gz,,2b70917ef7b7666586c7192a450185b7,
SRR9951064,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR995/004/SRR9951064/SRR9951064.fastq.gz,,c4ef653b705395f28507c7c0b34c2fe3,
SRR9951065,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR995/005/SRR9951065/SRR9951065.fastq.gz,,3b8d0d831b08c02e6d3bf3b6acb839a1,
SRR9951066,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR995/006/SRR9951066/SRR9951066.fastq.gz,,06c7dafb2fb65a451933ce78bf242931,
SRR10034566,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/066/SRR10034566/SRR10034566_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/066/SRR10034566/SRR10034566_2.fastq.gz,efcc5f76c67863d0cf84f1c35e675018,70c3ad5d7f14ac4e65e1920a2ee03a55
